Chris Brown,Chris Brown,15 784
Chris Evert,Chris Evert,10 570
Chris Tucker,Chris Tucker,3 868
Christian Bale,Christian Bale,16 695
Christian Chesnot,Christian Chesnot,372
Christian Clavier,Christian Clavier,15 721
Christian de Portzamparc,Christian de Portzamparc,2 381
Christian Dior,Christian Dior,7 769
Christian Ranucci,Affaire Christian Ranucci,11 313
Christiana Karembeu,NULL,NULL
Christina Aguilera,Christina Aguilera,15 461
Christine Albanel,Christine Albanel,4 920
Christine Angot,Christine Angot,28 523
Christine Bravo,Christine Bravo,11 342
Christine Lagarde,Christine Lagarde,10 565
Christine Ockrent,Christine Ockrent,5 349
Christophe,Christophe,896
Christophe Colomb,Christophe Colomb,78 418
Christophe Dechavanne,Christophe Dechavanne,8 274
Christophe Dominici,Christophe Dominici,1 665
Christophe Lambert,Christophe Lambert,13 215
Christophe Maé,Christophe Maé,20 280
Christophe Miossec,Christophe Miossec,2 593
Chuck Noris,Chuck Norris,20 059
Cindy Crawford,Cindy Crawford,7 112
Claire Bretecher,Claire Bretécher,2 229
Claire Chazal,Claire Chazal,17 457
Claire Danes,Claire Danes,11 051
Clara Barton,Clara Barton,289
Clara Morgane,Clara Morgane,29 964
Clark Gable,Clark Gable,9 662
Claude Berri,Claude Berri,8 077
Claude Brasseur,Claude Brasseur,15 026
Claude Chabrol,Claude Chabrol,6 595
Claude Debussy,Claude Debussy,15 433
Claude Érignac,Claude Érignac,1 648
Claude François,Claude François,25 980
Claude Lelouch,Claude Lelouch,14 489
Claude Lévi-Strauss,Claude Lévi-Strauss,12 343
Claude Nougaro,Claude Nougaro,14 609
Claude Ponti,Claude Ponti,2 063
Claude Rich,Claude Rich,8 208
Claude Sarraute,Claude Sarraute,15 062
Claude Zidi,Claude Zidi,3 202
Claudia Carinale,NULL,NULL
Claudia Schiffer,Claudia Schiffer,6 683
Clémentine Célarié,Clémentine Célarié,5 367
Cléopâtre,Cléopâtre,4 141
Clint Eastwood,Clint Eastwood,35 105
Clotilde,Clotilde Courau,15 391
Clotilde Courau,Clotilde Courau,15 391
Clovis Cornillac,Clovis Cornillac,8 307
Clyde Barrow,Bonnie et Clyde,29 484
Cochise,Cochise,1 703
Coco Chanel,Coco Chanel,27 397
Colette,Colette,13 643
Colin Firth,Colin Firth,20 285
Coluche,Coluche,29 677
comte de Mirabeau,Honoré-Gabriel Riqueti de Mirabeau,7 847
Confucius,Confucius,14 175
Coolio,Coolio,3 272
Corneille,Corneille,1 709
Costa-Gavras,Costa-Gavras,8 079
Courtney Cox,Courteney Cox,25 759
Courtney Love,Courtney Love,10 854
Cristiano Ronaldo,Cristiano Ronaldo,593 805
Cristina Cordula,Cristina Córdula,24 637
Cyndi Lauper,Cyndi Lauper,6 113
Cyril Collard,Cyril Collard,2 874
Cyril Hanouna,Cyril Hanouna,55 058
Cyril Lignac,Cyril Lignac,34 340
Dalida,Dalida,43 548
Damien Hirst,Damien Hirst,2 226
Daniel Auteuil,Daniel Auteuil,12 937
Daniel Balavoine,Daniel Balavoine,48 855
Daniel Barenboim,Daniel Barenboim,3 009
Daniel Cohn-Bendit,Daniel Cohn-Bendit,16 926
Daniel Craig,Daniel Craig,16 203
Daniel Day-Lewis,Daniel Day-Lewis,10 445
Daniel Defoe,Daniel Defoe,3 361
Daniel Ortega,Daniel Ortega,8 105
Daniel Pennac,Daniel Pennac,17 609
Daniel Prévost,Daniel Prévost (acteur),11 591
Daniel Radcliffe,Daniel Radcliffe,24 918
Daniel Russo,Daniel Russo,5 085
Daniela Lumbroso,Daniela Lumbroso,3 033
Danièle Gilbert,Danièle Gilbert,7 340
Danielle Darrieux,Danielle Darrieux,5 136
Danielle Mitterand,Danielle Mitterrand,3 784
Danny Boon,Dany Boon,25 592
Danny Boyle,Danny Boyle,7 670
Danny de Vito,Danny DeVito,6 460
Dany Brillant,Dany Brillant,31 264
Daphné du Maurier,Daphne du Maurier,3 799
Darren Aronofsky,Darren Aronofsky,7 603
Dave,Dave,12 014
Dave Brubeck,Dave Brubeck,2 325
David Arquette,David Arquette,4 486
David Beckham,David Beckham,46 460
David Bowie,David Bowie,32 824
David Cameron,David Cameron,5 267
David Charvet,David Charvet,5 876
David Copperfield,David Copperfield,3 134
David Cronenberg,David Cronenberg,6 708
David Douillet,David Douillet,6 667
David Fisher,David Fisher,141
David Gemmel,David Gemmell,2 895
David Guetta,David Guetta,29 616
David Halliday,David Hallyday,24 152
David Pujadas,David Pujadas,5 978
David Vincent,David Vincent,92
Demi Moore,Demi Moore,14 478
Demis Roussos,Demis Roussos,10 103
Denis Maréchal,Denis Maréchal,818
Denis Podalydès,Denis Podalydès,14 953
Denis Villeneuve,Denis Villeneuve,10 430
Desmond Tutu,Desmond Tutu,2 720
Dev Patel,Dev Patel,4 972
Diam’s,Diam's,27 533
Diana Krall,Diana Krall,1 507
Diana Spencer,Diana Spencer,69 383
Diane Kruger,Diane Kruger,48 717
Dick Rivers,Dick Rivers,20 456
Dick Tracy,Dick Tracy,584
Didier Barbelivien,Didier Barbelivien,5 716
Didier Bourdon,Didier Bourdon,9 510
Didier Cauchy,Didier Cauchy,450
Didier Daeninckx,Didier Daeninckx,3 993
Didier Drogba,Didier Drogba,32 834
Diego Maradona,Diego Maradona,96 555
Dieudonné,Dieudonné,27 986
Dilma Roussef,Dilma Rousseff,4 022
Dino Buzzati,Dino Buzzati,3 354
Djamila Boupacha,Djamila Boupacha,1 140
Django Reinhardt,Django Reinhardt,16 121
Djibril Cissé,Djibril Cissé,27 593
Doc Gyneco,Doc Gynéco,21 428
Dodi Al-Fayed,Dodi Al-Fayed,7 982
Dolph Lundgren,Dolph Lundgren,27 241
Dominique Besnehard,Dominique Besnehard,4 110
Dominique Blanc,Dominique Blanc,3 016
Dominique de Villepin,Dominique de Villepin,9 927
Dominique Farrugia,Dominique Farrugia,15 217
Dominique Lavanat,NULL,NULL
Dominique Strauss-Kahn,Dominique Strauss-Kahn,18 430
Don Cheadle,Don Cheadle,3 733
Donald Trump,Donald Trump,125 082
Donna Summer,Donna Summer,6 200
Dora Maar,Dora Maar,6 564
Doris Lessing,Doris Lessing,1 475
Dorothe,Dorothée,527
Drew Barrymore,Drew Barrymore,14 308
Duke Ellington,Duke Ellington,4 247
Dustin Hoffman,Dustin Hoffman,22 828
Eddie Barclay,Eddie Barclay,5 404
Eddie Murphy,Eddie Murphy,25 596
Eddie Redmayne,Eddie Redmayne,11 310
Eddy Mitchell,Eddy Mitchell,131 643
Edgar Allan Poe,Edgar Allan Poe,15 003
Edgar Degas,Edgar Degas,7 488
Edith Cresson,Édith Cresson,6 236
Edith Piaf,Édith Piaf,35 350
Edith Wharton,Edith Wharton,1 356
Edouard Baer,Édouard Baer,16 330
Edouard Daladier,Édouard Daladier,5 675
Edouard Leclerc,Édouard Leclerc,3 172
Edouard Manet,Édouard Manet,9 903
Edouard Michelin,Édouard Michelin (1963-2006),970
Edouard Phillippe,Édouard Philippe,25 215
Edvard Munch,Edvard Munch,7 642
Edward Leclerc,Trouble de la personnalité borderline,36 349
Edward Norton,Edward Norton,12 451
Edward Snowden,Edward Snowden,19 378
Edwy Plenel,Edwy Plenel,6 457
Elie Chouraqui,Élie Chouraqui,3 113
Elie Kakou,Élie Kakou,24 841
Elie Wiesel,Elie Wiesel,3 745
Eliot Ness,Eliot Ness,5 754
Elisabeth I,Élisabeth Ire (reine d'Angleterre),32 915
Elisabeth II,Élisabeth II,255 402
Elisabeth Vigée le Brun,Élisabeth Vigée Le Brun,4 373
Elise Lucet,Élise Lucet,16 313
Ella Fitzgerald,Ella Fitzgerald,6 615
Ellen DeGeneres,Ellen DeGeneres,11 209
Ellen Page,Ellen Page,23 248
Elon Musk,Elon Musk,52 144
Elsa Triolet,Elsa Triolet,6 444
Elton John,Elton John,17 644
Elton John (Sir),Elton John,17 644
Elvis Presley,Elvis Presley,35 124
Emile Ajar,Romain Gary,34 933
Emile Hirsch,Emile Hirsch,4 696
Emile Louis,Émile Louis,15 821
